BAB73025	all1068
BAB73026	all1069
BAB73027	all1070
BAB73028	all1071
BAB73029	all1072
BAB73030	alr1073
BAB73031	alr1074
BAB73032	all1075
BAB73033	all1076
BAB73034	alr1077
BAB73035	
BAB73036	all1079
BAB73037	alr1080
BAB73038	alr1081
BAB73039	all1082
BAB73040	alr1083
BAB73041	all1084
BAB73042	alr1085
BAB73043	alr1086
BAB73044	all1087
BAB73045	all1088
BAB73046	all1089
BAB73047	all1090
BAB73048	all1091
BAB73049	all1092
BAB73050	alr1093
BAB73051	alr1094
BAB73052	alr1095
BAB73053	alr1096
BAB73054	alr1097
BAB73055	asl1098
BAB73057	all1100
BAB73058	all1101
BAB73059	asr1102
BAB73060	all1103
BAB73061	alr1104
BAB73062	alr1105
BAB73063	all1106
BAB73064	alr1107
BAB73065	alr1108
BAB73066	alr1109
BAB73067	all1110
BAB73068	asl1111
BAB73069	alr1112
BAB73070	alr1113
BAB73071	alr1114
BAB73072	asr1115
BAB73073	all1116
BAB73074	alr1117
BAB73075	
BAB73076	all1119
BAB73077	asl1120
BAB73078	alr1121
BAB73079	all1122
BAB73080	all1123
BAB73081	all1124
BAB73082	alr1125
BAB73083	all1126
BAB73084	all1127
BAB73085	alr1128
BAB73086	alr1129
BAB73087	all1130
BAB73088	asr1131
BAB73089	all1132
BAB73090	alr1133
BAB73091	asr1134
BAB73092	asr1135
BAB73093	alr1136
BAB73094	alr1137
BAB73095	alr1138
BAB73096	alr1139
BAB73097	all1140
BAB73098	all1141
BAB73099	alr1142
BAB73100	alr1143
BAB73101	alr1144
BAB73102	all1145
BAB73103	alr1146
BAB73104	alr1147
BAB73105	alr1148
BAB73106	all1149
BAB73107	asr1150
BAB73108	all1151
BAB73109	
BAB73110	alr1153
BAB73111	all1154
BAB73112	alr1155
BAB73113	asr1156
BAB73114	alr1157
BAB73115	alr1158
BAB73116	alr1159
BAB73117	alr1160
BAB73118	all1161
BAB73119	all1162
BAB73120	all1163
BAB73121	all1164
BAB73122	asl1165
BAB73123	alr1166
BAB73124	alr1167
BAB73125	all1168
BAB73126	all1169
BAB73127	alr1170
BAB73128	alr1171
BAB73129	all1172
BAB73130	all1173
BAB73131	alr1174
BAB73132	all1175
BAB73133	all1176
BAB73134	all1177
BAB73135	all1178
BAB73136	all1179
BAB73137	alr1180
BAB73138	asl1181
BAB73139	asr1182
BAB73140	alr1183
BAB73141	alr1184
BAB73142	asr1185
BAB73143	all1186
BAB73144	asl1187
BAB73145	all1188
BAB73146	all1189
BAB73147	alr1190
BAB73148	all1191
BAB73149	alr1192
BAB73150	all1193
BAB73151	alr1194
BAB73152	asr1195
BAB73153	alr1196
BAB73154	alr1197
BAB73155	alr1198
BAB73156	alr1199
BAB73157	alr1200
BAB73158	alr1201
BAB73159	asr1202
BAB73160	asr1203
BAB73161	asr1204
BAB73162	all1205
BAB73163	alr1206
BAB73164	alr1207
BAB73165	alr1208
BAB73166	alr1209
BAB73167	all1210
BAB73168	all1211
BAB73170	asr1213
BAB73171	all1214
BAB73172	alr1215
BAB73173	alr1216
BAB73174	alr1217
BAB73175	asl1218
BAB73176	all1219
BAB73177	all1220
BAB73178	
BAB73179	alr1222
BAB73180	alr1223
BAB73181	alr1224
BAB73182	all1225
BAB73183	all1226
BAB73184	all1227
BAB73185	all1228
BAB73186	alr1229
BAB73187	alr1230
BAB73188	alr1231
BAB73189	alr1232
BAB73190	alr1233
BAB73191	asr1234
BAB73192	all1235
BAB73193	alr1236
BAB73194	all1237
BAB73195	alr1238
BAB73196	all1239
BAB73197	
BAB73198	alr1241
BAB73199	alr1242
BAB73200	asl1243
BAB73201	alr1244
BAB73202	alr1245
BAB73203	alr1246
BAB73204	alr1247
BAB73205	all1248
BAB73206	asl1249
BAB73207	alr1250
BAB73208	all1251
BAB73209	all1252
BAB73210	all1253
BAB73211	alr1254
BAB73212	alr1255
BAB73213	all1256
BAB73214	asr1257
BAB73215	
BAB73216	alr1259
BAB73217	alr1260
BAB73218	
BAB73219	asl1262
BAB73220	alr1263
BAB73221	
BAB73222	all1265
BAB73223	alr1266
BAB73224	all1267
BAB73225	all1268
BAB73226	all1269
BAB73227	alr1270
BAB73228	alr1271
BAB73229	all1272
BAB73230	all1273
BAB73231	asl1274
BAB73232	asr1275
BAB73233	alr1276
BAB73234	asr1277
BAB73235	alr1278
BAB73236	all1279
BAB73237	all1280
BAB73238	all1281
BAB73239	alr1282
BAB73240	asr1283
BAB73241	all1284
BAB73242	alr1285
BAB73243	alr1286
BAB73244	all1287
BAB73245	all1288
BAB73246	asr1289
BAB73247	all1290
BAB73248	all1291
BAB73249	all1292
BAB73250	asl1293
BAB73251	all1294
BAB73252	alr1295
BAB73253	alr1296
BAB73254	alr1297
BAB73255	alr1298
BAB73256	alr1299
BAB73257	alr1300
BAB73258	alr1301
BAB73259	alr1302
BAB73260	all1303
BAB73261	all1304
BAB73262	asl1305
BAB73263	alr1306
BAB73264	asr1307
BAB73265	alr1308
BAB73266	asr1309
BAB73267	alr1310
BAB73268	alr1311
BAB73269	alr1312
BAB73270	alr1313
BAB73271	asr1314
BAB73272	alr1315
BAB73273	all1316
BAB73274	all1317
BAB73275	all1318
BAB73276	all1319
BAB73277	alr1320
BAB73278	all1321
BAB73279	all1322
BAB73280	all1323
BAB73281	alr1324
BAB73282	all1325
BAB73283	all1326
BAB73284	all1327
BAB73285	asr1328
BAB73286	alr1329
BAB73287	alr1330
BAB73288	alr1331
BAB73289	alr1332
BAB73290	asr1333
BAB73291	alr1334
BAB73292	asr1335
BAB73293	alr1336
BAB73294	alr1337
BAB73295	all1338
BAB73296	all1339
BAB73297	all1340
BAB73298	alr1341
BAB73299	all1342
BAB73300	alr1343
BAB73301	asr1344
BAB73302	all1345
BAB73303	alr1346
BAB73304	alr1347
BAB73305	
BAB73306	alr1349
BAB73307	alr1350
BAB73308	all1351
BAB73309	alr1352
BAB73310	all1353
BAB73311	all1354
BAB73312	all1355
BAB73313	alr1356
BAB73314	all1357
BAB73315	alr1358
BAB73316	all1359
BAB73317	alr1360
BAB73318	all1361
BAB73319	alr1362
BAB73320	all1363
BAB73321	alr1364
BAB73322	
BAB73323	asr1366
BAB73324	all1367
BAB73325	all1368
BAB73326	alr1369
BAB73327	alr1370
BAB73328	all1371
BAB73329	alr1372
BAB73330	asr1373
BAB73331	alr1374
BAB73332	alr1375
BAB73333	alr1376
BAB73334	alr1377
BAB73335	alr1378
BAB73336	alr1379
BAB73337	all1380
BAB73338	alr1381
BAB73339	alr1382
BAB73340	alr1383
BAB73341	alr1384
BAB73342	alr1385
BAB73343	alr1386
BAB73344	all1387
BAB73345	all1388
BAB73346	all1389
BAB73347	alr1390
BAB73348	all1391
BAB73349	alr1392
BAB73350	asr1393
BAB73351	asl1394
BAB73352	all1395
BAB73353	alr1396
BAB73354	alr1397
BAB73355	alr1398
BAB73356	asr1399
BAB73357	asr1400
BAB73358	alr1401
BAB73359	asl1402
BAB73360	alr1403
BAB73361	alr1404
BAB73362	asr1405
BAB73363	asr1406
BAB73364	alr1407
BAB73365	
BAB73366	
BAB73367	alr1410
BAB73368	all1411
BAB73369	asl1412
BAB73370	all1413
BAB73371	alr1414
BAB73372	all1415
BAB73373	all1416
BAB73374	all1417
BAB73375	all1418
BAB73376	alr1419
BAB73377	all1420
BAB73378	asl1421
BAB73379	alr1422
BAB73380	alr1423
BAB73381	all1424
BAB73382	all1425
BAB73383	all1426
BAB73384	all1427
BAB73385	
BAB73386	asl1429
BAB73387	all1430
BAB73388	all1431
BAB73389	all1432
BAB73390	all1433
BAB73391	asl1434
BAB73392	all1435
BAB73393	
BAB73394	all1437
BAB73395	all1438
BAB73396	all1439
BAB73397	all1440
BAB73398	all1454
BAB73399	alr1442
BAB73400	alr1443
BAB73401	alr1444
BAB73402	all1445
BAB73403	asl1446
BAB73404	alr1447
BAB73405	alr1448
BAB73406	alr1449
BAB73407	alr1450
BAB73408	asr1451
BAB73409	asr1452
BAB73410	asr1453
BAB73411	all1455
BAB73412	all1456
BAB73413	all1457
BAB73414	
BAB73415	alr1460
BAB73416	
BAB73417	
BAB73418	all1719
BAB73419	asl1720
BAB73420	alr1721
BAB73421	alr1722
BAB73422	all1723
BAB73423	all1724
BAB73424	all1725
BAB73425	alr1726
BAB73427	alr1728
BAB73428	all1729
BAB73429	all1730
BAB73430	all1731
BAB73431	all1732
BAB73432	alr1733
BAB73433	asr1734
BAB73434	asl1735
BAB73435	all1736
BAB73436	all1737
BAB73437	all1738
BAB73438	asl1739
BAB73439	alr1740
BAB73440	all1741
BAB73441	alr1742
BAB73442	
BAB73443	alr1744
BAB73444	all1745
BAB73445	alr1746
BAB73446	all1747
BAB73447	all1748
BAB73448	asl1749
BAB73449	all1750
BAB73450	all1751
BAB73451	alr1752
BAB73452	alr1753
BAB73453	all1754
BAB73454	all1755
BAB73455	all1756
BAB73456	all1757
BAB73457	all1758
BAB73458	
BAB73459	all1760
BAB73460	all1761
BAB73461	all1762
BAB73462	all1763
BAB73463	all1764
BAB73464	all1765
BAB73465	all1766
BAB73466	all1767
BAB73467	all1768
