gene_id	gene_name	rep1_0	rep1_3	rep1_9	rep1_24	rep2_0	rep2_3	rep2_9	rep2_24	rep3_0	rep3_3	rep3_9	rep3_24
BAB78211	alr7127	96.910362	45.274235	32.853817	53.531796	96.262329	39.811119	48.091961	35.413857	41.797665	54.369762	54.756855	78.148575
BAB78212	all7128	54.539391	72.816093	98.801552	139.154907	50.948132	90.402618	78.409157	100.871101	55.543755	103.588997	172.826202	175.815216
BAB78213	alr7129	31.90416	23.28018	30.604679	103.084221	40.765129	23.5567	32.224792	83.098282	36.385643	24.170658	95.366669	211.746414
BAB78214	all7130	52.403976	8.551233	2.605156	4.86475	65.844551	5.065161	6.156034	2.050193	21.222563	6.70788	4.003618	8.658738
BAB78215	all7131	176.981659	156.275757	146.538025	260.760925	161.316574	194.35907	151.852692	111.924438	171.475418	269.771606	208.120117	203.988327
BAB78216	alr7132	96.648064	96.587128	128.350571	93.943352	91.906769	143.297638	109.148087	33.661335	110.643509	169.609604	122.454887	95.965347
BAB78217	all7133	37.29977	21.885628	9.119242	15.917681	33.502377	6.507715	21.991173	6.704088	14.352375	7.750231	12.370483	17.506495
BAB78218	all7134	56.833496	71.880051	96.98243	342.599396	46.846607	73.189056	152.391113	215.293228	26.738735	70.715714	218.070404	289.385101
BAB78219	all7135	80.787903	156.770111	254.7995	899.395447	61.309231	104.590942	339.852295	303.734375	29.076925	150.947388	612.334106	764.337646
BAB78220	all7136	17.303648	17.840111	22.614019	84.71077	12.603455	15.602006	18.952127	63.16972	6.896016	14.911513	87.681526	226.748474
BAB78221	all7137	762.497131	504.261688	503.002197	390.433807	668.112854	516.941895	422.665863	296.320007	1107.751343	590.671387	522.429565	347.009918
BAB78222	alr7138	21.88884	60.272442	86.785995	87.543648	18.527494	130.254501	39.090355	88.357231	33.055477	121.577652	224.743073	317.85498
BAB78223	alr7139	6.839061	4.458712	8.72112	46.825893	8.849805	15.954373	15.171685	40.521851	5.018837	20.263283	38.421371	99.531372
BAB78224	asr7140	47.835812	44.068462	12.758427	36.409569	83.77523	43.3713	31.023666	43.025661	7.825343	40.319355	34.692345	120.851982
BAB78225	alr7141	3.73397	6.268815	3.752648	26.461519	5.332557	2.53927	1.801531	19.678879	3.198375	1.064919	17.061203	60.161343
BAB78226	asr7142	0	1.102789	2.252253	18.045525	0	4.185483	2.968537	25.211185	2.076728	0.355189	85.834167	72.230278
BAB78227	asr7143	2.426936	9.124618	1.722315	27.839775	3.24041	10.037317	5.743699	26.107878	8.5e-05	9.000923	81.913078	90.574425
BAB78228	alr7144	5.960109	6.390418	2.39848	34.281105	4.861408	0.176541	4.782186	28.617088	3.018242	8.429428	26.688915	61.310558
BAB78229	asr7145	240.826721	288.660858	679.540344	585.072815	171.449066	535.399719	241.042465	281.039856	117.255302	795.746765	998.497986	1010.000732
BAB78230	alr7147	85.697487	139.46991	137.253983	406.181274	73.758163	78.494537	96.283455	374.46109	27.499062	66.683502	153.755692	666.496155
BAB78231	asr7146	0.679345	0.624733	0.523573	0.320093	0.457234	1.639963	0.463869	0.717186	0.221354	2.476727	2.713722	0.366535
BAB78232	all7148	181.79921	67.740593	27.817661	58.497517	146.196625	50.013508	53.923508	47.980934	145.021133	57.60915	177.943802	139.273163
BAB78233	alr7149	32.111336	16.481405	40.644032	113.422722	31.215048	14.798127	44.56715	91.440811	16.748409	12.427305	105.904053	211.09285
BAB78234	all7150	138.769012	108.743561	164.113556	166.741821	180.692963	123.780724	102.602234	177.10202	243.540588	151.638855	448.443817	376.05423
BAB78235	all7151	605.60675	373.521118	618.448181	996.264832	783.207703	349.161713	811.19043	1160.227417	1068.579834	351.426331	649.058228	746.27063
BAB78236	asr7152	2.234779	16.3353	10.872505	174.020615	11.508245	3.147556	47.391376	62.84943	2.61198	0	13.274317	168.638092
BAB78237	alr7153	282.701843	421.563171	282.527161	944.213684	255.917953	264.503418	744.895447	777.382935	39.49213	262.410187	293.02066	549.670105
BAB78238	asr7154	263.257935	208.309845	616.252502	445.918793	275.897827	236.540207	324.107544	385.798676	202.24704	302.66806	740.333496	510.337891
BAB78239	all7155	575.869568	635.46167	453.205566	1270.63501	742.741943	249.956528	880.574585	856.4021	208.797989	244.371216	613.597412	547.197327
BAB78240	asl7156	809.141663	854.783875	648.430054	1398.917725	984.469055	387.335968	1075.814819	912.832031	317.117615	410.748077	573.831848	587.912354
BAB78241	alr7157	79.66375	51.551418	87.512619	99.355057	62.850601	48.776234	56.441402	99.735748	30.047895	53.821812	122.220436	116.333794
BAB78242	all7158	537.443176	241.984344	170.552002	210.002533	517.867798	166.400467	284.795013	148.121948	201.640579	168.317551	293.641418	196.525085
BAB78243	asl7159	855.611145	517.628113	360.346893	763.28125	914.004822	319.296326	760.511475	739.629883	362.077637	206.120758	461.397614	707.631287
BAB78244	all7160	1670.285889	877.062622	651.37677	1146.30127	1664.364746	482.569824	1146.222534	950.1875	943.629089	509.058929	824.238953	948.184509
BAB78245	all7161	46.234806	32.684593	23.821516	26.139011	69.124786	34.568996	22.492252	16.108923	56.766884	45.442146	46.401726	40.608528
BAB78246	alr7162	304.527924	140.303635	99.034485	59.482067	273.400513	114.819298	127.025436	28.196293	312.397217	134.662369	107.934708	57.084568
BAB78247	alr7163	1102.708496	324.525482	270.059387	346.56311	1134.799561	410.893951	575.808289	287.346283	634.273926	355.751617	243.312149	272.643158
BAB78248	asl7164	157.962631	69.216537	61.298214	35.255501	173.171219	180.341415	64.568184	31.894087	167.923798	297.706329	107.743156	57.325302
BAB78249	all7165	51.60247	27.550577	15.997539	56.096706	75.532234	14.321804	43.868088	47.375641	21.844679	18.946745	18.916147	75.492912
BAB78250	all7166	25.399977	9.191548	10.612206	22.867445	15.236233	9.031405	13.187679	23.561386	14.501454	15.026314	22.236473	78.551117
BAB78251	all7167	17.020962	15.963202	18.982208	32.913925	16.86447	13.590828	16.056532	30.136354	13.76015	17.445276	38.765427	105.218491
BAB78252	alr7168	51.995361	37.577904	60.143158	74.890076	65.664688	52.042149	62.297058	67.351486	28.89896	32.050785	41.333683	119.708961
BAB78253	alr7169	435.213104	187.748123	201.36673	251.624756	414.952423	252.917282	195.738922	159.104172	489.151733	258.404388	259.577515	270.005951
BAB78254	all7170	72.898193	34.959892	33.157707	71.179985	69.947174	18.42647	44.275417	66.058212	36.31234	21.251505	60.071632	95.65992
BAB78255	all7171	135.710281	15.16061	8.449174	38.22644	145.604309	3.591223	15.61861	23.232573	69.377571	12.753057	25.346403	40.462799
BAB78256	all7172	263.437897	80.367302	38.717457	65.54158	260.211426	56.05706	49.395134	48.902691	166.278305	54.253277	48.614838	87.897995
BAB78257	all7173	367.165894	998.904846	1165.398438	791.440735	372.662415	694.45697	743.449768	893.453003	278.012451	609.36499	975.941589	806.729187
BAB78258	all7174	122.886627	245.641357	161.721039	312.858429	94.70314	97.876617	238.079453	287.527039	38.545334	134.485336	251.409332	275.531952
BAB78259	all7175	30.534859	38.623611	26.408792	44.695343	29.406361	10.145892	32.087196	37.561604	11.028365	6.413179	35.761292	77.595757
